timestamps population node_ids
8597.000000015243 V1 460
8624.200000014847 V1 460
8666.800000014227 V1 460
8836.100000011764 V1 460
8855.100000011487 V1 460
8867.900000011301 V1 460
8569.900000015637 V1 460
8593.300000015297 V1 458
8576.200000015546 V1 458
8561.50000001576 V1 458
8874.600000011204 V1 453
8558.800000015799 V1 454
8577.30000001553 V1 454
8595.000000015272 V1 454
8852.800000011519 V1 454
8866.800000011317 V1 454
8564.800000015712 V1 455
8580.900000015477 V1 455
8604.200000015138 V1 455
8859.000000011429 V1 455
8561.900000015754 V1 456
8581.300000015472 V1 456
8628.10000001479 V1 456
8857.900000011447 V1 456
8568.100000015664 V1 457
8583.700000015437 V1 457
8859.600000011422 V1 457
8579.900000015492 V1 461
8569.000000015649 V1 423
8864.900000011345 V1 422
8849.600000011567 V1 422
8554.200000015866 V1 384
8579.700000015495 V1 384
8597.500000015236 V1 384
8854.600000011495 V1 384
8868.70000001129 V1 384
8580.100000015489 V1 385
8604.900000015128 V1 385
8863.400000011367 V1 383
8862.100000011385 V1 385
8868.70000001129 V1 386
8576.900000015536 V1 387
8596.700000015246 V1 387
8853.900000011505 V1 387
8870.600000011262 V1 387
8581.000000015476 V1 388
8861.200000011399 V1 388
8588.100000015373 V1 386
8566.000000015694 V1 389
8586.500000015396 V1 383
8579.700000015495 V1 382
8806.700000012192 V1 377
8820.600000011991 V1 377
8827.900000011883 V1 377
8841.400000011687 V1 377
8849.100000011575 V1 377
8856.200000011471 V1 377
8863.000000011372 V1 377
8857.400000011454 V1 382
8908.200000010715 V1 377
8964.800000009891 V1 377
8589.700000015351 V1 378
8576.400000015543 V1 379
8577.100000015533 V1 380
8863.200000011371 V1 380
8585.900000015405 V1 381
8860.800000011404 V1 381
8947.00000001015 V1 377
8585.000000015418 V1 389
8854.500000011496 V1 389
8874.000000011212 V1 389
8572.400000015601 V1 395
8591.500000015323 V1 395
8855.60000001148 V1 395
8872.500000011234 V1 395
8552.400000015892 V1 396
8573.80000001558 V1 396
8597.500000015236 V1 396
8870.800000011259 V1 394
8661.900000014299 V1 396
8865.400000011337 V1 396
8556.800000015828 V1 397
8577.800000015523 V1 397
8667.000000014224 V1 397
8856.100000011473 V1 397
8559.40000001579 V1 398
8576.200000015546 V1 398
8848.900000011578 V1 396
8856.100000011473 V1 394
8613.00000001501 V1 394
8585.800000015406 V1 394
8580.400000015485 V1 390
8860.300000011412 V1 390
8566.200000015691 V1 391
8580.600000015482 V1 391
8594.200000015284 V1 391
8854.400000011497 V1 391
8867.000000011314 V1 391
8573.500000015585 V1 392
8590.200000015342 V1 392
8856.600000011465 V1 392
8875.100000011196 V1 392
8569.300000015646 V1 393
8582.300000015457 V1 393
8600.400000015194 V1 393
8843.200000011659 V1 393
8862.300000011383 V1 393
8571.200000015619 V1 394
8654.700000014403 V1 377
8589.00000001536 V1 398
8640.900000014604 V1 377
8608.800000015071 V1 377
8580.400000015485 V1 374
8595.600000015264 V1 374
8607.200000015095 V1 374
8616.000000014967 V1 374
8627.200000014804 V1 374
8642.000000014588 V1 374
8653.400000014422 V1 374
8572.500000015601 V1 374
8666.000000014239 V1 374
8829.000000011867 V1 374
8840.5000000117 V1 374
