edge_type_id target_query source_query dynamics_params delay model_template weight_sigma weight_function syn_weight distance_range target_sections
171 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' InhToInh.json 4.9 exp2syn 15.0 gaussianLL_Laminar 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']"
172 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' InhToInh.json 1.5 exp2syn 15.0 gaussianLL_Laminar 0.047999999999999994 "[0.0, 1e+20]" ['basal']
173 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' InhToInh.json 1.7 exp2syn 15.0 gaussianLL_Laminar 0.047999999999999994 "[0.0, 1e+20]" ['basal']
174 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' InhToInh.json 4.8 exp2syn 15.0 gaussianLL_Laminar 0.047999999999999994 "[0.0, 1e+20]" ['basal']
175 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' InhToExc.json 1.5 exp2syn 15.0 gaussianLL_Laminar 0.0024 "[0.0, 1e+20]" "['basal', 'apical']"
176 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' InhToExc.json 1.5 exp2syn 15.0 gaussianLL_Laminar 4.7999999999999994e-05 "[0.0, 1e+20]" "['basal', 'apical']"
177 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' InhToExc.json 0.9 exp2syn 15.0 gaussianLL_Laminar 0.0024 "[0.0, 1e+20]" "['somatic', 'basal', 'apical']"
178 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' InhToExc.json 1.1 exp2syn 15.0 gaussianLL_Laminar 0.0048 "[0.0, 1e+20]" "['somatic', 'basal', 'apical']"
179 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' InhToExc.json 1.7 exp2syn 15.0 gaussianLL_Laminar 0.0048 "[0.0, 1e+20]" "['basal', 'apical']"
180 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' InhToExc.json 1.7 exp2syn 15.0 gaussianLL_Laminar 9.599999999999999e-05 "[0.0, 1e+20]" "['basal', 'apical']"
181 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' InhToExc.json 4.2 exp2syn 15.0 gaussianLL_Laminar 0.0024 "[0.0, 1e+20]" "['somatic', 'basal', 'apical']"
182 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' InhToExc.json 4.8 exp2syn 15.0 gaussianLL_Laminar 0.0024 "[0.0, 1e+20]" "['basal', 'apical']"
183 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' InhToExc.json 4.8 exp2syn 15.0 gaussianLL_Laminar 4.7999999999999994e-05 "[0.0, 1e+20]" "['basal', 'apical']"
184 location=='L2'&ei=='2e1' location=='L4'&ei=='2e1' ExcToExc.json 2.3 exp2syn 5.0 gaussianLL_Laminar 0.0021 "[0.0, 1e+20]" "['basal', 'apical']"
185 location=='L5'&ei=='2e1' location=='L4'&ei=='2e1' ExcToExc.json 1.5 exp2syn 5.0 gaussianLL_Laminar 0.00175 "[0.0, 1e+20]" "['basal', 'apical']"
186 location=='L6'&ei=='2e1' location=='L4'&ei=='2e1' ExcToExc.json 1.9 exp2syn 5.0 gaussianLL_Laminar 0.00175 "[0.0, 1e+20]" "['basal', 'apical']"
187 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' ExcToInh.json 1.9 exp2syn 15.0 gaussianLL_Laminar 0.003 "[0.0, 1e+20]" "['somatic', 'basal']"
188 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' ExcToInh.json 2.2 exp2syn 10.0 gaussianLL_Laminar 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']"
189 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' ExcToInh.json 2.2 exp2syn 5.0 gaussianLL_Laminar 0.0015 "[0.0, 1e+20]" "['somatic', 'basal']"
190 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' ExcToInh.json 1.1 exp2syn 15.0 gaussianLL_Laminar 0.003 "[0.0, 1e+20]" "['somatic', 'basal']"
191 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' ExcToInh.json 1.4 exp2syn 10.0 gaussianLL_Laminar 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']"
192 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' ExcToInh.json 1.4 exp2syn 5.0 gaussianLL_Laminar 0.0015 "[0.0, 1e+20]" "['somatic', 'basal']"
193 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' ExcToInh.json 1.5 exp2syn 15.0 NULL 0.003 "[0.0, 1e+20]" "['somatic', 'basal']"
194 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' ExcToInh.json 1.8 exp2syn 10.0 NULL 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']"
195 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' ExcToInh.json 1.8 exp2syn 5.0 NULL 0.0015 "[0.0, 1e+20]" "['somatic', 'basal']"
196 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='Sst' InhToInh.json 2.2 exp2syn 15.0 gaussianLL_Laminar 0.0018479999999999998 "[0.0, 1e+20]" ['basal']
197 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='Sst' InhToInh.json 1.4 exp2syn 15.0 gaussianLL_Laminar 0.0018479999999999998 "[0.0, 1e+20]" ['basal']
198 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='Sst' InhToInh.json 1.8 exp2syn 15.0 gaussianLL_Laminar 0.0018479999999999998 "[0.0, 1e+20]" ['basal']
199 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='Sst' InhToInh.json 2.2 exp2syn 15.0 gaussianLL_Laminar 0.000792 "[0.0, 1e+20]" ['basal']
200 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='Sst' InhToInh.json 1.4 exp2syn 15.0 gaussianLL_Laminar 0.000792 "[0.0, 1e+20]" ['basal']
201 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='Sst' InhToInh.json 1.8 exp2syn 15.0 gaussianLL_Laminar 0.000792 "[0.0, 1e+20]" ['basal']
202 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='PV1' InhToInh.json 2.6 exp2syn 15.0 gaussianLL_Laminar 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']"
203 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='PV1' InhToInh.json 1.1 exp2syn 15.0 gaussianLL_Laminar 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']"
204 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='PV1' InhToInh.json 1.5 exp2syn 15.0 gaussianLL_Laminar 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']"
205 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2i1'&pop_name=='VIP' InhToInh.json 2.2 exp2syn 15.0 gaussianLL_Laminar 0.047999999999999994 "[0.0, 1e+20]" ['basal']
206 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2i1'&pop_name=='VIP' InhToInh.json 1.4 exp2syn 15.0 gaussianLL_Laminar 0.047999999999999994 "[0.0, 1e+20]" ['basal']
207 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2i1'&pop_name=='VIP' InhToInh.json 1.8 exp2syn 15.0 gaussianLL_Laminar 0.047999999999999994 "[0.0, 1e+20]" ['basal']
208 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='PV1' InhToInh.json 2.3 exp2syn 15.0 gaussianLL_Laminar 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']"
209 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='PV1' InhToInh.json 1.5 exp2syn 15.0 gaussianLL_Laminar 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']"
210 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='PV1' InhToInh.json 1.9 exp2syn 15.0 gaussianLL_Laminar 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']"
211 location=='L2'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='PV1' InhToExc.json 1.6 exp2syn 15.0 gaussianLL_Laminar 0.0048 "[0.0, 1e+20]" "['somatic', 'basal', 'apical']"
212 location=='L2'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='Sst' InhToExc.json 2.2 exp2syn 15.0 gaussianLL_Laminar 0.0048 "[0.0, 1e+20]" "['basal', 'apical']"
213 location=='L2'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='VIP' InhToExc.json 2.2 exp2syn 15.0 gaussianLL_Laminar 9.599999999999999e-05 "[0.0, 1e+20]" "['basal', 'apical']"
214 location=='L5'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='PV1' InhToExc.json 0.8 exp2syn 15.0 gaussianLL_Laminar 0.0024 "[0.0, 1e+20]" "['somatic', 'basal', 'apical']"
215 location=='L5'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='Sst' InhToExc.json 1.4 exp2syn 15.0 gaussianLL_Laminar 0.0024 "[0.0, 1e+20]" "['basal', 'apical']"
