timestamps population node_ids
9946.499999995604 V1 72
9662.499999999738 V1 73
9688.199999999364 V1 73
9707.999999999076 V1 73
9860.29999999686 V1 73
9878.399999996596 V1 73
9921.099999995977 V1 73
9936.099999995755 V1 73
9668.199999999655 V1 74
9696.599999999242 V1 74
9871.199999996701 V1 74
9932.599999995808 V1 74
9659.899999999776 V1 75
9687.79999999937 V1 75
9716.69999999895 V1 75
9853.799999996954 V1 75
9929.799999995848 V1 79
9665.599999999693 V1 102
9692.199999999306 V1 102
9924.599999995924 V1 102
9669.89999999963 V1 124
9690.199999999337 V1 124
9930.399999995841 V1 124
9667.89999999966 V1 125
9689.199999999351 V1 125
9930.899999995832 V1 125
9690.999999999323 V1 126
9670.199999999626 V1 131
9926.699999995892 V1 123
9854.399999996946 V1 131
9664.099999999715 V1 132
9925.399999995912 V1 132
9673.099999999584 V1 133
9675.799999999543 V1 134
9939.199999995712 V1 134
9660.199999999772 V1 135
9929.299999995856 V1 135
9672.999999999583 V1 136
9923.59999999594 V1 131
9935.499999995764 V1 136
9870.499999996711 V1 123
9665.0999999997 V1 123
9928.599999995866 V1 119
9663.799999999721 V1 120
9861.999999996837 V1 120
9870.299999996714 V1 120
9923.799999995936 V1 120
9929.299999995856 V1 120
9662.699999999737 V1 121
9667.999999999658 V1 121
9863.09999999682 V1 123
9858.19999999689 V1 121
9870.299999996714 V1 121
9921.599999995968 V1 121
9926.999999995887 V1 121
9663.999999999716 V1 122
9672.099999999598 V1 122
9859.199999996876 V1 122
9866.299999996772 V1 122
9924.999999995918 V1 122
9864.4999999968 V1 121
9661.499999999753 V1 137
9923.499999995942 V1 137
9668.499999999649 V1 139
9665.499999999694 V1 146
9712.499999999009 V1 146
9876.899999996618 V1 146
9930.199999995844 V1 146
9661.899999999749 V1 147
9708.599999999069 V1 147
9870.999999996704 V1 147
9926.89999999589 V1 147
9930.699999995837 V1 145
9662.499999999738 V1 148
9875.499999996639 V1 148
9926.699999995892 V1 148
9664.899999999705 V1 149
9691.19999999932 V1 149
9710.399999999041 V1 149
9864.699999996796 V1 149
9927.59999999588 V1 149
9669.099999999642 V1 150
9707.499999999085 V1 148
9872.099999996688 V1 145
9726.499999998809 V1 145
9666.39999999968 V1 145
9695.99999999925 V1 139
9927.099999995888 V1 139
9663.599999999722 V1 140
9864.999999996791 V1 140
9930.699999995837 V1 140
9662.199999999742 V1 142
9680.499999999476 V1 142
9926.699999995892 V1 142
9667.89999999966 V1 143
