timestamps population node_ids
13867.499999938547 V1 62
13878.89999993838 V1 62
13891.699999938195 V1 62
13911.599999937906 V1 62
13923.799999937726 V1 62
13936.599999937542 V1 62
13948.299999937373 V1 62
13962.89999993716 V1 62
13980.5999999369 V1 62
13992.799999936724 V1 62
13566.099999942931 V1 63
13584.999999942658 V1 63
13603.999999942384 V1 63
13625.999999942063 V1 63
13631.399999941985 V1 62
13592.799999942545 V1 60
13616.799999942195 V1 62
13589.199999942595 V1 62
13623.099999942104 V1 60
13637.699999941891 V1 60
13657.499999941603 V1 60
13673.299999941371 V1 60
13689.29999994114 V1 60
13703.599999940932 V1 60
13718.09999994072 V1 60
13733.499999940495 V1 60
13746.899999940302 V1 60
13766.599999940017 V1 60
13782.599999939785 V1 60
13796.699999939578 V1 60
13807.799999939416 V1 60
13822.7999999392 V1 60
13840.49999993894 V1 60
13858.49999993868 V1 60
13874.699999938442 V1 60
13887.999999938247 V1 60
13902.499999938038 V1 60
13919.799999937786 V1 60
13932.4999999376 V1 60
13946.699999937395 V1 60
13961.599999937178 V1 60
13977.79999993694 V1 60
13991.999999936736 V1 60
13549.499999943177 V1 62
13570.499999942871 V1 62
13603.499999942387 V1 62
13641.999999941829 V1 63
13976.799999936955 V1 57
13948.899999937363 V1 57
13926.099999937695 V1 54
13935.899999937552 V1 54
13947.499999937383 V1 54
13961.699999937175 V1 54
13974.399999936992 V1 54
13984.69999993684 V1 54
13994.099999936705 V1 54
13560.09999994302 V1 55
13577.999999942758 V1 55
13602.399999942405 V1 55
13616.099999942207 V1 55
13631.899999941976 V1 55
13647.599999941747 V1 55
13663.399999941515 V1 55
13679.799999941279 V1 55
13698.699999941004 V1 55
13717.899999940724 V1 55
13736.299999940456 V1 55
13750.199999940254 V1 55
13769.399999939975 V1 55
13785.399999939742 V1 55
13800.399999939524 V1 55
13814.399999939322 V1 55
13832.29999993906 V1 55
13857.399999938694 V1 55
13874.599999938444 V1 55
13891.199999938202 V1 55
13916.999999937827 V1 54
13911.499999937907 V1 55
13903.69999993802 V1 54
13877.799999938396 V1 54
13968.199999937082 V1 52
13983.39999993686 V1 52
13996.199999936674 V1 52
13543.799999943258 V1 54
13564.29999994296 V1 54
13578.999999942744 V1 54
13598.999999942454 V1 54
13609.6999999423 V1 54
13623.899999942092 V1 54
13637.299999941897 V1 54
13652.299999941679 V1 54
13665.89999994148 V1 54
13676.999999941321 V1 54
13692.299999941097 V1 54
13704.899999940913 V1 54
13717.399999940733 V1 54
13729.699999940553 V1 54
13740.499999940395 V1 54
13754.699999940189 V1 54
13769.399999939975 V1 54
13779.799999939823 V1 54
13793.299999939629 V1 54
13803.899999939473 V1 54
13816.699999939286 V1 54
13830.599999939084 V1 54
13850.399999938796 V1 54
13865.899999938569 V1 54
13889.599999938226 V1 54
13962.499999937163 V1 57
13924.099999937725 V1 55
13951.19999993733 V1 55
13565.299999942945 V1 57
13579.999999942733 V1 57
13599.89999994244 V1 57
13611.69999994227 V1 57
13626.79999994205 V1 57
13640.299999941853 V1 57
13659.79999994157 V1 57
13674.29999994136 V1 57
13691.999999941101 V1 57
13704.699999940916 V1 57
13716.79999994074 V1 57
13730.899999940537 V1 57
13742.999999940359 V1 57
13762.599999940074 V1 57
13777.899999939851 V1 57
13792.999999939631 V1 57
13804.399999939464 V1 57
13816.599999939288 V1 57
13832.499999939055 V1 57
13851.599999938779 V1 57
13864.699999938588 V1 57
13876.299999938421 V1 57
